SKU,title,description,price,image_link,Quantity
A-002G-Negro,"Soporte Movil Basic Negro",,8.9,https://emovedistribution.com/wp-content/uploads/2026/07/A-002G3.jpeg,100
FR-006A-140,"Disco de Freno 140MM 2,8MM Grosor",,9.9,,100
FR-006B-140,"Disco de Freno 140MM Interior Redondo 2,8MM Grosor",,9.9,https://emovedistribution.com/wp-content/uploads/2026/07/140-48-mm.jpeg,100
FR-006A-160,"Disco de Freno 160MM 2,8MM Grosor",,9.9,,100
FR-006B-160,"Disco de Freno 160MM Interior Redondo 2,8MM Grosor",,9.9,https://emovedistribution.com/wp-content/uploads/2026/07/160-48.jpeg,100
A-045B,"Bocina Timbre Eléctrica Version Mini",,15.9,"https://emovedistribution.com/wp-content/uploads/2026/07/a-045b2.jpeg,https://emovedistribution.com/wp-content/uploads/2026/07/a-045b4.jpeg",100
H-010B,"Hinchador Eléctrico",,51.9,"https://emovedistribution.com/wp-content/uploads/2026/07/H-010B3.jpeg,https://emovedistribution.com/wp-content/uploads/2026/07/H-010B5.jpeg",100
RRCU-YX-097,"Rueda Cubierta 12x3,0 para Xiaomi MI6 Ultra",,"12,90",https://emovedistribution.com/wp-content/uploads/2026/06/7e5a9adf-eb20-4e77-9387-6438d3e6ff1f.jpg,100
RRCU-YX-096,"Rueda Cubierta 12x2,5 Offroad Para Patinete Xiaomi Mi6 Pro",,"12,90",https://emovedistribution.com/wp-content/uploads/2026/06/RRCU-YX-096.jpg,100
RRCU-YX-095,"Rueda Cubierta 12x2,5 Cityroad Para Patinete Xiaomi Mi6 MAX",,"12,90",https://emovedistribution.com/wp-content/uploads/2026/06/RRCU-YX-095.jpg,100
RRCU-YX-094,"Rueda Cubierta 60/90-8 Para Patinete Xiaomi Mi5 Plus / Mi6",,"12,90",https://emovedistribution.com/wp-content/uploads/2026/06/尺寸图1.jpg,100
A-100-W006-Azul,"Casco Urbano Regulable Con Luz Trasero Talla L Color Azul",,"24,9","https://emovedistribution.com/wp-content/uploads/2026/06/w06-7.jpeg,https://emovedistribution.com/wp-content/uploads/2026/06/azul-2.jpeg",100
A-100-W006-Cherry,"Casco Urbano Regulable Con Luz Trasero Talla L Color Cherry",,"24,9","https://emovedistribution.com/wp-content/uploads/2026/06/w06-10.jpeg,https://emovedistribution.com/wp-content/uploads/2026/06/rojo-1.jpeg",0
A-100-W006-Blanco,"Casco Urbano Regulable Con Luz Trasero Talla L Color Blanco",,"24,9","https://emovedistribution.com/wp-content/uploads/2026/06/w06-9.jpeg,https://emovedistribution.com/wp-content/uploads/2026/06/blanco-1.jpeg",0
A-100-W006-Orange,"Casco Urbana Regulable Con Luz Trasero Talla L Color Orange",,24.9,"https://emovedistribution.com/wp-content/uploads/2026/07/w06-8.jpeg,https://emovedistribution.com/wp-content/uploads/2026/06/orange.jpeg",100
A-100-W006-Negro,"Casco Urbano Regulable Con Luz Trasero Talla L Color Negro",,"24,9","https://emovedistribution.com/wp-content/uploads/2026/07/w06-6.jpeg,https://emovedistribution.com/wp-content/uploads/2026/06/negro.jpeg",100
A-100-W001-Negro,"Casco Urbano Regulable Talla L Color Negro",,20.9,"https://emovedistribution.com/wp-content/uploads/2026/06/w01-12.jpeg,https://emovedistribution.com/wp-content/uploads/2026/06/w01-8.jpeg",0
A-100-W001-Blanco,"Casco Urbano Regulable Talla LColor Blanco",,"20,9","https://emovedistribution.com/wp-content/uploads/2026/06/w01-7.jpeg,https://emovedistribution.com/wp-content/uploads/2026/06/w01-11.jpeg",0
A-100-W001-Orange,"Casco Urbano Regulable Talla L Color Orange",,"20,9","https://emovedistribution.com/wp-content/uploads/2026/06/w01-6.jpeg,https://emovedistribution.com/wp-content/uploads/2026/06/w01-10.jpeg",0
A-100-W001-Rojo,"Casco Urbano Regulable Talla L Color Rojo",,"20,9","https://emovedistribution.com/wp-content/uploads/2026/06/w01-5.jpeg,https://emovedistribution.com/wp-content/uploads/2026/06/w01-9.jpeg",0
A-100-B068-Negro,"Casco Integral Talla L Color Negro Gris",,"88,9","https://emovedistribution.com/wp-content/uploads/2026/07/gris.jpeg,https://emovedistribution.com/wp-content/uploads/2026/07/场景.jpeg",100
A-100-B068-Azul,"Casco Integral Talla L Color Azul Gris",,"88,9","https://emovedistribution.com/wp-content/uploads/2026/06/azul-1.jpeg,https://emovedistribution.com/wp-content/uploads/2026/07/场景.jpeg",100
A-100-B068-Orange,"Casco Integral Talla L Color Orange Gris",,"88,9","https://emovedistribution.com/wp-content/uploads/2026/06/尺寸-1.jpeg,https://emovedistribution.com/wp-content/uploads/2026/07/场景.jpeg",100
EE-M41-023-DEL,"Motor Delantero Para Patinete Ecoxtrem M41 Tank Dual",,153.9,"https://emovedistribution.com/wp-content/uploads/2026/07/前.jpeg,https://emovedistribution.com/wp-content/uploads/2026/07/ChatGPT-Image-2026年7月19日-12_15_17.png",100
EE-M41-023-TRA,"Motor Trasero Para Patinete Ecoxtrem M41 Tank Dual",,153.9,"https://emovedistribution.com/wp-content/uploads/2026/07/后.jpeg,https://emovedistribution.com/wp-content/uploads/2026/07/motortrasero3.jpeg",100
NZT3-020,"Cable de comunicación para patinete Ninebot ZT3 Pro (Original)",,20.9,"https://emovedistribution.com/wp-content/uploads/2026/07/cable2.jpeg,https://emovedistribution.com/wp-content/uploads/2026/07/cable3.jpeg",
REL-001N,"Acelerador de Gatillo Sport",,14.9,"https://emovedistribution.com/wp-content/uploads/2026/07/REL-001N1.jpeg,https://emovedistribution.com/wp-content/uploads/2026/07/rel001n.jpeg",100
A-091-AZUL,"Tapon Manillar Color Azul",,6.9,https://emovedistribution.com/wp-content/uploads/2026/07/tamano-1.jpeg,100
A-091-ROJO,"Tapon Manillar Color Rojo",,6.9,https://emovedistribution.com/wp-content/uploads/2026/07/tamano-1.jpeg,100
A-091-NEGRO,"Tapon Manillar Color Negro",,6.9,https://emovedistribution.com/wp-content/uploads/2026/07/tamano.jpeg,100
A-094C-NEGRO,"Puño Para Patinete eléctrico y Bicicleta Color Negro",,9.9,https://emovedistribution.com/wp-content/uploads/2026/07/tamano1.jpeg,0
A-094C-LILA,"Puño Para Patinete eléctrico y Bicicleta Color LILA",,9.9,https://emovedistribution.com/wp-content/uploads/2026/07/tamano5.jpeg,0
A-094C-VERDE,"Puño Para Patinete eléctrico y Bicicleta Color Verde",,9.9,https://emovedistribution.com/wp-content/uploads/2026/07/tamano2.jpeg,
A-094C-AZUL,"Puño Para Patinete eléctrico y Bicicleta Color Azul",,9.9,https://emovedistribution.com/wp-content/uploads/2026/07/tamano3.jpeg,0
A-094C-ROJO,"Puño Para Patinete eléctrico y Bicicleta Color Rojo",,9.9,https://emovedistribution.com/wp-content/uploads/2026/07/tamano4.jpeg,0
REL-009E,"Faro LED con bocina (12-72V)","La Luz Faro con Bocina para bicicleta y patinete eléctrico combina iluminación potente con una bocina integrada. Ofrece visibilidad mejorada y seguridad en la carretera, mientras que la bocina permite alertar a otros usuarios, proporcionando una solución completa para tus desplazamientos urbanos.",14.9,"https://emovedistribution.com/wp-content/uploads/2022/04/Luz-con-bocina.webp,https://emovedistribution.com/wp-content/uploads/2022/04/Luz-con-bocina-拷贝.webp,https://emovedistribution.com/wp-content/uploads/2022/04/Imagen-JPEG-5BB64DAEAFDC-1-scaled.jpeg",100
REL-001M-SMAX2,"Acelerador de Gatillo Para Patinete Smartgyro Crossover Dual Max 2 CJ Racing",,14.9,,100
REL-001M-SEVO,"Acelerador de Gatillo Para Patinete Smargyro Raptor Evo / Raptor Dual Evo CJ Racing",,14.9,,100
REL-001M-MI5,"Acelerador de Gatillo Para Patinete Xiaomi Mi5 CJ Racing",,14.9,,100
MATRICULA-DGT-200,"Matrículas DGT - Lote 200 unidades (display exterior con poster de regalo)","– Display exterior a doble cara 90x60 de punto oficial para tu taller – Display no incluye lamina pvc","1408,90",,
MATRICULA-DGT-100,"Matrículas DGT - Lote 100 unidades",,"768,90",,
RME-002T,"Soporte CNC para damper (compatible con Ecoxtrem, Kukirin y similares)","Adaptador CNC de aleación de aluminio CNC para patinete eléctrico Inxing V5, Ecoxtrem, Kukirin y otros similares.",14.9,,100
ROVORON-R7-PRO,"Patinete eléctrico Rovoron R7 Pro DGT","Rovoron R7 Pro DGT 60V 42,4Ah con doble motor 900W x 2, batería Samsung 21700, ruedas 11"" tubeless, suspensión regulable y hasta 120 km de autonomía.","1519,90",,
A-018-ACRILICOX10,"Portamatrícula VMP de Acrílico Transparente (logo personalizado)","Portamatrículas con logo personalizado. Adjunta debajo el logotipo de tu negocio y recibirás las matrículas junto con las pegatinas de tu logotipo.",43.9,,100
RK-G4-011,"Motor para Kugoo KuKirin G4",,152.90,"https://emovedistribution.com/wp-content/uploads/2026/05/motor1.jpeg,https://emovedistribution.com/wp-content/uploads/2026/05/motor-3.jpeg",0
RK-G4-010,"Display Para Patinete Kukirin G4",,45.90,"https://emovedistribution.com/wp-content/uploads/2026/05/A613571C-9DC1-401A-95B2-BEACECA5E042-2.jpeg,https://emovedistribution.com/wp-content/uploads/2026/05/BF3C68BC-C856-4931-99AF-6E856ED8C882-2.jpeg,https://emovedistribution.com/wp-content/uploads/2026/05/AB592586-2601-48B2-8F6F-9D011339DD41-2.jpeg",0
RK-G3-013,"Display Para Patinete Kukirin G3",,45.90,"https://emovedistribution.com/wp-content/uploads/2026/05/A613571C-9DC1-401A-95B2-BEACECA5E042-1.jpeg,https://emovedistribution.com/wp-content/uploads/2026/05/BF3C68BC-C856-4931-99AF-6E856ED8C882-1.jpeg,https://emovedistribution.com/wp-content/uploads/2026/05/AB592586-2601-48B2-8F6F-9D011339DD41-1.jpeg",100
RK-G2-011,"Display Para Patinete Kukirin G2",,45.90,"https://emovedistribution.com/wp-content/uploads/2026/05/A613571C-9DC1-401A-95B2-BEACECA5E042.jpeg,https://emovedistribution.com/wp-content/uploads/2026/05/BF3C68BC-C856-4931-99AF-6E856ED8C882.jpeg,https://emovedistribution.com/wp-content/uploads/2026/05/AB592586-2601-48B2-8F6F-9D011339DD41.jpeg",0
RK-G3-012,"Luz Trasera Para Patinete Kukirin G3",,15.9,https://emovedistribution.com/wp-content/uploads/2026/05/706F9B9E-E928-4941-A035-F385B5589D92.jpeg,
RK-G4-009,"Luz Trasera Para Patinete Kukirin G4",,15.9,"https://emovedistribution.com/wp-content/uploads/2026/05/66630533-5CD0-4777-B291-841587C3D1E1.jpeg,https://emovedistribution.com/wp-content/uploads/2026/05/8CBE1BD5-6E4E-43A2-87E5-1BF137BEC652.jpeg",100
RK-G2-010,"Luz Trasera Para Patinete Kukirin G2",,15.9,"https://emovedistribution.com/wp-content/uploads/2026/05/9CD314ED-9D17-4187-A709-2B871733EBE7.jpeg,https://emovedistribution.com/wp-content/uploads/2026/05/02965A92-B112-41A2-AC51-9F21A7BC3BB8.jpeg",100
ECOXTREM-ARMORED-DUAL-BLANCO,"Ecoxtrem Armored Dual Long Range - DGT Homologado 2026 (Blanco)","Nueva versión con chapa DGT específica para Ecoxtrem M41 Armored Long Range. El Ecoxtrem M41 Armored Dual 2026 destaca por su batería de 60V 24Ah (65 kilómetros de autonomía), gran potencia y aceleración punta con sun dos motores 1000W + 1000W, frenos hidráulicos de marca Nutt, arranque con llave NFC, suspensión invertida de largo recorrido y ruedas tubeless de 11"".",984.9,,0
A-018-ACRILICO,"Portamatrícula VMP de Acrílico Transparente",,"8,9","https://emovedistribution.com/wp-content/uploads/2026/06/3739-A-018-ACRILICO-Portamatr-cula-VMP-de-Acr-lico-Transparente.jpg,https://emovedistribution.com/wp-content/uploads/2026/06/a018acrilico.jpeg",100
ADA-V315D,"Adasmart V Plus 31,5Ah Patinete Eléctrico 48V 31,5Ah Doble Motor","Especificación Detalle Batería 48V 31,5Ah Dual Peso 44 Kg Motor 500W x 2 Controlador 25A x 2 Velocidad máxima 25 Km/h Autonomía máxima 90 Km Aplicación móvil Sí Suspensión ShockFree Suspension System Frenos E-ABS + Frenos de disco Ruedas 10 pulgadas",1056.9,"https://emovedistribution.com/wp-content/uploads/2026/06/v1.jpeg,https://emovedistribution.com/wp-content/uploads/2026/06/v3.jpeg,https://emovedistribution.com/wp-content/uploads/2026/06/v5.jpeg,https://emovedistribution.com/wp-content/uploads/2026/06/v7.jpeg",0
ADA-V225D,"Adasmart V 22,5Ah Patinete Eléctrico 48V 22,5Ah Doble Motor Homologado DGT","Especificación Detalle Batería 48V 22,5Ah Dual Peso 42 Kg Motor 500W x 2 Controlador 25A x 2 Velocidad máxima 25 Km/h Autonomía máxima 90 Km Aplicación móvil Sí Suspensión ShockFree Suspension System Frenos E-ABS + Frenos de disco Ruedas 10 pulgadas",898.9,"https://emovedistribution.com/wp-content/uploads/2026/06/v1.jpeg,https://emovedistribution.com/wp-content/uploads/2026/06/v3.jpeg,https://emovedistribution.com/wp-content/uploads/2026/06/v5.jpeg,https://emovedistribution.com/wp-content/uploads/2026/06/v7.jpeg",0
ADA-V156D,"Adasmart V 15,6Ah Patinete Eléctrico 48V 15,6Ah Doble Motor Homologado DGT","Especificación Detalle Batería 48V 15,6Ah Dual Peso 40 Kg Motor 500W x 2 Controlador 25A x 2 Velocidad máxima 25 Km/h Autonomía máxima 90 Km Aplicación móvil Sí Suspensión ShockFree Suspension System Frenos E-ABS + Frenos de disco Ruedas 10 pulgadas",792.9,"https://emovedistribution.com/wp-content/uploads/2026/06/v1.jpeg,https://emovedistribution.com/wp-content/uploads/2026/06/v5.jpeg,https://emovedistribution.com/wp-content/uploads/2026/06/v7.jpeg,https://emovedistribution.com/wp-content/uploads/2026/06/v3.jpeg",0
ADA-TANK234D,"Adasmart Tank Patinete Eléctrico 48V 23,4Ah Doble Motor Homologado DGT","Especificación Detalle Batería 48V 23,4Ah Dual Peso 47 Kg Motor 500W x 2 Controlador 25A x 2 Velocidad máxima 25 Km/h Autonomía máxima 70 Km Suspensión ShockFree Suspension System Frenos E-ABS + Frenos de disco Ruedas 10 pulgadas",1240.9,"https://emovedistribution.com/wp-content/uploads/2026/06/tank1.jpeg,https://emovedistribution.com/wp-content/uploads/2026/06/tank2.jpeg,https://emovedistribution.com/wp-content/uploads/2026/06/tank3.jpeg",
ADA-XEPLUS36S,"Adasmart XE Plus Patinete Eléctrico 48V 36Ah 1000W Homologado DGT","Especificación Detalle Batería 48V 36Ah Single Peso 41 Kg Motor 1000W Controlador 25A Velocidad máxima 25 Km/h Autonomía máxima 100 Km Suspensión ShockFree Suspension System Frenos E-ABS + Frenos de disco Ruedas 10 pulgadas",845.9,"https://emovedistribution.com/wp-content/uploads/2026/06/x3.jpeg,https://emovedistribution.com/wp-content/uploads/2026/06/x4.jpeg,https://emovedistribution.com/wp-content/uploads/2026/06/x2.jpeg,https://emovedistribution.com/wp-content/uploads/2026/06/x1.jpeg,https://emovedistribution.com/wp-content/uploads/2026/06/x5.jpeg,https://emovedistribution.com/wp-content/uploads/2026/06/x6.jpeg",100
ADA-XE234S,"Adasmart XE Patinete Eléctrico 48V 23,4Ah 1000W Homologado DGT","Especificación Detalle Batería 48V 23,4Ah Single Peso 39 Kg Motor 1000W Controlador 25A Velocidad máxima 25 Km/h Autonomía máxima 80 Km Suspensión ShockFree Suspension System Frenos E-ABS + Frenos de disco Ruedas 10 pulgadas",740.9,"https://emovedistribution.com/wp-content/uploads/2026/06/x3.jpeg,https://emovedistribution.com/wp-content/uploads/2026/06/x4.jpeg,https://emovedistribution.com/wp-content/uploads/2026/06/x2.jpeg,https://emovedistribution.com/wp-content/uploads/2026/06/x1.jpeg,https://emovedistribution.com/wp-content/uploads/2026/06/x5.jpeg,https://emovedistribution.com/wp-content/uploads/2026/06/x6.jpeg",100
ADA-X146S,"Adasmart X Patinete Eléctrico 48V 15,6Ah 1000W Homologado DGT","Especificación Detalle Batería 48V 15,6Ah Single Peso 37 Kg Motor 1000W Controlador 25A Velocidad máxima 25 Km/h Autonomía máxima 60 Km Suspensión ShockFree Suspension System Frenos E-ABS + Frenos de disco Ruedas 10 pulgadas",634.9,"https://emovedistribution.com/wp-content/uploads/2026/06/x3.jpeg,https://emovedistribution.com/wp-content/uploads/2026/06/x4.jpeg,https://emovedistribution.com/wp-content/uploads/2026/06/x2.jpeg,https://emovedistribution.com/wp-content/uploads/2026/06/x1.jpeg,https://emovedistribution.com/wp-content/uploads/2026/06/x5.jpeg,https://emovedistribution.com/wp-content/uploads/2026/06/x6.jpeg",
EE-M41-022-AMDUAL,"Controladora para patinete Ecoxtrem M41 Armored Dual",,96.9,https://emovedistribution.com/wp-content/uploads/2026/06/尺寸.jpeg,
BCT-B-011,"Cargador 12,6V 3A",,14.9,https://emovedistribution.com/wp-content/uploads/2026/05/126V-3A.jpeg,100
RRCU-074-CITY,"Rueda cubierta 70/60-7,5 - Tubeless",,"19,9",https://emovedistribution.com/wp-content/uploads/2026/05/city-74.jpg,100
MATRICULA-DGT,"Matrícula para patinete eléctrico DGT homologado","✓ Actualización: Ya puedes pedir matrículas y repuestos en un mismo pedido. Emove es punto oficial autorizado por la DGT para la fabricación de matrículas homologadas para patinetes eléctricos (VMP).",20.90,,100
MATRICULA-DGT-25,"Matrículas DGT - Lote 25 unidades",,159.90,,100
REL-010F-B,"Rastreador - Localizador para patinete (compatible con Android y Apple Find My)",,28.9,"https://emovedistribution.com/wp-content/uploads/2026/06/文件1.jpg,https://emovedistribution.com/wp-content/uploads/2026/06/文件3.jpg",0
ROVORON-R7,"Patinete eléctrico Rovoron R7 DGT","Rovoron R7 DGT 60V 28,6Ah con doble motor 900W x 2, potencia máxima de hasta 3000W, ruedas 11 tubeless, suspensión regulable y hasta 90 km de autonomía.","1119,90","https://emovedistribution.com/wp-content/uploads/2026/06/rovoronfoto5.png,https://emovedistribution.com/wp-content/uploads/2026/06/rovoronfoto2.png,https://emovedistribution.com/wp-content/uploads/2026/06/rovoronfoto4.png,https://emovedistribution.com/wp-content/uploads/2026/06/ROVORON_R7_DETAILS_1.jpeg,https://emovedistribution.com/wp-content/uploads/2026/06/ROVORON_R7_DETAILS_2.jpeg,https://emovedistribution.com/wp-content/uploads/2026/06/ROVORON_R7_DETAILS_3.jpeg,https://emovedistribution.com/wp-content/uploads/2026/06/ROVORON_R7_DETAILS_4.jpeg,https://emovedistribution.com/wp-content/uploads/2026/06/ROVORON-R7-DETALLE.png,https://emovedistribution.com/wp-content/uploads/2026/06/ROVORON-R7-DETALLE2.png,https://emovedistribution.com/wp-content/uploads/2026/06/ROVORON-R7-SUSPENSIONES.png",0
ROVORON-S7,"Patinete eléctrico Rovoron S7 DGT","Rovoron S7 DGT 84V 37,1Ah Samsung con doble motor 2500W x 2, potencia máxima de hasta 11.500W, pantalla EY4 Bluetooth, frenos hidráulicos y hasta 140 km de autonomía.","2527,90","https://emovedistribution.com/wp-content/uploads/2026/06/TROTTINETTE-ELECTRIQUE-ROVORON-S7-_-84V-37Ah-2.jpg,https://emovedistribution.com/wp-content/uploads/2026/06/TROTTINETTE-ELECTRIQUE-ROVORON-S7-_-84V-37Ah-3.jpg,https://emovedistribution.com/wp-content/uploads/2026/06/TROTTINETTE-ELECTRIQUE-ROVORON-S7-_-84V-37Ah-4.jpg,https://emovedistribution.com/wp-content/uploads/2026/06/TROTTINETTE-ELECTRIQUE-ROVORON-S7-_-84V-37Ah-5.jpg,https://emovedistribution.com/wp-content/uploads/2026/06/TROTTINETTE-ELECTRIQUE-ROVORON-S7-_-84V-37Ah-6.jpg,https://emovedistribution.com/wp-content/uploads/2026/06/TROTTINETTE-ELECTRIQUE-ROVORON-S7-_-84V-37Ah.jpg",
RME-017-ROJO,"Manillar de Bici MTB Fibra de Carbono Color Rojo",,34.9,"https://emovedistribution.com/wp-content/uploads/2026/06/Photoroom_20260611_124717-1.jpg,https://emovedistribution.com/wp-content/uploads/2026/06/Photoroom_20260611_124821-1.jpg",100
RME-017-PLATA,"Manillar de Bici MTB Fibra de Carbono Color Plata",,34.9,"https://emovedistribution.com/wp-content/uploads/2026/06/Photoroom_20260611_124717.jpg,https://emovedistribution.com/wp-content/uploads/2026/06/Photoroom_20260611_124821.jpg",
A-045A,"Timbre Bocina Con Alarma Para Patinete o Bicicleta",,14.90,"https://emovedistribution.com/wp-content/uploads/2026/06/Photoroom_20260611_115557.jpg,https://emovedistribution.com/wp-content/uploads/2026/06/Photoroom_20260611_115729.jpg",100
A-070G,"Candado Con Alarma Basic",,12.9,"https://emovedistribution.com/wp-content/uploads/2026/06/Photoroom_20260611_151851.jpg,https://emovedistribution.com/wp-content/uploads/2026/06/Photoroom_20260611_151516.jpg",100
RME-003J-AZUL,"Guardabarros Universal Fibra Carbono Azul",,12.9,"https://emovedistribution.com/wp-content/uploads/2026/06/Photoroom_20260611_113.jpeg",100
RMR-061-Mi4-DES,"Kit de Controladora para Xiaomi Mi4 (Deslimitado)",,"85,9",https://emovedistribution.com/wp-content/uploads/2025/07/20250722-152723.jpeg,100
RMR-047-Mi5,"Cable de Freno 1.45 metros para Xiaomi Mi4 Pro 2ed gen , Mi4 Lite 2ed gen , Mi4 Pro Plus , Mi4 Pro Max , Mi5 , Mi5 Pro , Mi5 Max , Mi Elite",,7.9,,100
FR-023B-ROJO,"Funda de Cable Freno 50 Metros Rojo","Rollo continuo de funda de cable de freno. (50 metros)Color rojo.",43.9,,100
FR-023B-AZUL,"Funda de Cable Freno 50 Metros Azul","Rollo continuo de funda de cable de freno. (50 metros)Color azul.",43.9,,100
FR-023B-NEGRO,"Funda de Cable Freno 50 Metros Negro","Rollo continuo de funda de cable de freno. (50 metros)Color negro.",43.9,,100
FR-023A-300,"Cable de freno 3 metros genérico (pack de 100 unidades)",,42.9,"https://emovedistribution.com/wp-content/uploads/2025/03/CABLE-FRENO-SUNIIK3.jpg,https://emovedistribution.com/wp-content/uploads/2025/03/Sin-titulo-2.jpg",100
FR-023A-250,"Cable de freno 2,5 metros genérico (pack de 100 unidades)",,40.9,,100
FR-023A-145,"Cable de freno 1,45 metros genérico (pack de 100 unidades)",,39.9,,100
RRCA-A005-C45,"Cámara de aire reforzada 10x2,125 (válvula 90 45) - Premium","Cámaras de aire premium 10x2 válvula 45 90, exclusivas en Emove. Fabricadas con caucho butílico de máxima calidad y un gramaje de 120 gramos.",5.90,"https://emovedistribution.com/wp-content/uploads/2021/01/10x2125-45o-90o-detalle.jpg,https://emovedistribution.com/wp-content/uploads/2021/01/10x2125-45o-90o-dos.jpg,https://emovedistribution.com/wp-content/uploads/2021/01/medidas-10x2125-45o-90o-copia.png",100
